year,unemployment_rate,electricity_gwh,gdp_rmillion,cpi_index,manufacturing_index,gdp_growth_pct,electricity_change_pct
2015,25.4,230983,4420792.572445364,,,,
2016,26.7,228637,4759554.533290742,,,7.662923679271194,-1.0156591610637977
2017,27.4,229670,5078190.182748809,,,6.694652771165188,0.45180788761223223
2018,27.1,231865,5363190.43070464,,,5.612240536481061,0.9557190751948497
2019,28.7,227387,5625206.549453776,,,4.8854524584671655,-1.9312962284087742
2020,29.2,216186,5562760.2340586325,,,-1.1101159547858286,-4.925963225690122
2021,34.1,221038,6206842.063562246,,,11.578457499572782,2.244363649820058
2022,33.5,214943,6666580.96377118,,,7.406969526546647,-2.75744442132122
2023,32.4,206321,7037674.438357338,,,5.566473678229156,-4.011296018014077
2024,32.6,213454,7352449.483551072,,,4.472713933428341,3.4572341157710573
2025,,155264,,,,0.0,-27.261142916038118
